,Node,Degree,Frequency,UniqueConnections,FrequencyProportion,UniqueConnectionProportion
0,Estonia,1010,264,131,0.006401551891367604,0.6858638743455497
1,Russian Federation,7144,10610,184,0.257274490785645,0.9633507853403142
2,Lithuania,1653,394,132,0.009553831231813774,0.6910994764397905
3,Poland,2036,785,155,0.019034917555771098,0.8115183246073299
4,Ukraine,3703,4173,175,0.10118816682832202,0.9162303664921466
5,Finland,642,189,112,0.0045829291949563535,0.5863874345549738
6,Latvia,1362,273,147,0.0066197866149369546,0.7696335078534031
7,Azerbaijan,2900,676,152,0.016391852570320078,0.7958115183246073
8,Armenia,1705,678,156,0.01644034917555771,0.8167539267015707
9,United States,6356,13982,189,0.33903976721629486,0.9895287958115183
10,China,4562,4694,184,0.1138215324927255,0.9633507853403142
11,Taiwan,904,353,133,0.008559650824442289,0.6963350785340314
12,Japan,2137,1607,175,0.03896702230843841,0.9162303664921466
13,Germany,4112,2671,180,0.06476721629485936,0.9424083769633508
14,Czech Republic,1449,393,157,0.009529582929194957,0.8219895287958116
15,Iran,2857,2526,175,0.06125121241513094,0.9162303664921466
16,Tajikistan,1962,1322,163,0.032056256062075655,0.8534031413612565
17,India,2311,1471,181,0.03566925315227934,0.9476439790575916
18,Kazakhstan,2298,1937,166,0.04696896217264791,0.8691099476439791
19,Sweden,1620,597,169,0.01447623666343356,0.8848167539267016
20,Greece,1813,412,155,0.009990300678952473,0.8115183246073299
21,Libya,995,368,167,0.008923375363724539,0.8743455497382199
22,Uzbekistan,2200,2001,178,0.04852085354025218,0.9319371727748691
23,Turkey,3576,3055,165,0.07407856450048497,0.8638743455497382
24,Pakistan,1106,721,161,0.017483026188166828,0.8429319371727748
25,Kyrgyzstan,1349,1544,151,0.03743937924345296,0.7905759162303665
26,France,3961,2311,185,0.05603782735208535,0.9685863874345549
27,Georgia,1574,536,148,0.012997090203685741,0.774869109947644
28,Albania,867,90,120,0.0021823472356935015,0.6282722513089005
29,United Kingdom,2828,2495,186,0.060499515033947626,0.9738219895287958
30,Venezuela,1318,663,156,0.01607662463627546,0.8167539267015707
31,Afghanistan,2150,2025,168,0.04910281280310378,0.8795811518324608
32,Nepal,574,90,139,0.0021823472356935015,0.7277486910994765
33,Cambodia,544,71,139,0.0017216294859359845,0.7277486910994765
34,Sri Lanka,457,119,136,0.002885548011639185,0.7120418848167539
35,Belarus,1268,1171,158,0.028394762366634334,0.8272251308900523
36,Israel,2150,1302,169,0.03157129000969932,0.8848167539267016
37,Bulgaria,1005,229,124,0.005552861299709021,0.6492146596858639
38,Italy,3011,1187,177,0.0287827352085354,0.9267015706806283
39,Hungary,747,287,153,0.006959262851600388,0.8010471204188482
40,Iraq,1888,1076,161,0.02609117361784675,0.8429319371727748
41,Kosovo,307,76,107,0.0018428709990300678,0.5602094240837696
42,Canada,3695,952,178,0.02308438409311348,0.9319371727748691
43,Moldova,538,222,129,0.005383123181377304,0.675392670157068
44,Luxembourg,620,81,138,0.0019641125121241513,0.7225130890052356
45,Nigeria,870,237,163,0.005746847720659554,0.8534031413612565
46,Benin,164,13,112,0.0003152279340446169,0.5863874345549738
47,Bahrain,833,177,144,0.004291949563530553,0.7539267015706806
48,United Arab Emirates,367,160,111,0.0038797284190106693,0.581151832460733
49,Myanmar,642,267,144,0.006474296799224054,0.7539267015706806
50,Dem. Rep. Korea,1367,1806,164,0.04379243452958293,0.8586387434554974
51,Syria,3223,2306,163,0.05591658583899127,0.8534031413612565
52,Cuba,907,276,153,0.006692531522793405,0.8010471204188482
53,Australia,2041,794,177,0.019253152279340446,0.9267015706806283
54,Turkmenistan,1174,552,156,0.01338506304558681,0.8167539267015707
55,Norway,1493,391,170,0.009481086323957322,0.8900523560209425
56,Algeria,874,146,145,0.0035402521823472356,0.7591623036649214
57,Austria,1400,420,165,0.010184287099903006,0.8638743455497382
58,Denmark,1310,347,153,0.008414161008729389,0.8010471204188482
59,Slovakia,721,202,130,0.00489815712900097,0.680628272251309
60,Netherlands,2351,561,161,0.01360329776915616,0.8429319371727748
61,Montenegro,461,86,130,0.002085354025218235,0.680628272251309
62,Ecuador,603,157,142,0.003806983511154219,0.743455497382199
63,Madagascar,287,36,127,0.0008729388942774006,0.6649214659685864
64,Bosnia and Herzegovina,383,62,103,0.0015033947623666344,0.5392670157068062
65,Mali,690,189,154,0.0045829291949563535,0.806282722513089
66,South Africa,545,176,147,0.004267701260911736,0.7696335078534031
67,New Zealand,1518,301,168,0.007298739088263822,0.8795811518324608
68,Belgium,2025,430,170,0.010426770126091174,0.8900523560209425
69,Portugal,1057,190,157,0.00460717749757517,0.8219895287958116
70,Iceland,727,111,144,0.002691561590688652,0.7539267015706806
71,Liechtenstein,334,23,118,0.0005577109602327837,0.6178010471204188
72,Switzerland,1541,477,179,0.011566440349175557,0.93717277486911
73,Qatar,1074,436,153,0.010572259941804074,0.8010471204188482
74,Chad,468,71,144,0.0017216294859359845,0.7539267015706806
75,Republic of Korea,2184,1384,176,0.03355965082444229,0.9214659685863874
76,Saudi Arabia,1911,1337,170,0.0324199806013579,0.8900523560209425
77,Egypt,1704,581,163,0.014088263821532493,0.8534031413612565
78,Antigua and Barbuda,75,8,43,0.00019398642095053346,0.225130890052356
79,Tuvalu,193,18,107,0.0004364694471387003,0.5602094240837696
80,Guinea,611,87,169,0.0021096023278370513,0.8848167539267016
